"PLOT.ID","PANEL","STATUS","ECO.SITE","ECO.SITE.MATCHED"
"GR-029","oversample 2019","NOT SAMPLED",NA,NA
"GR-030","oversample 2019","NOT SAMPLED",NA,NA
"GR-031","oversample 2019","NOT SAMPLED",NA,NA
"GR-032","oversample 2020","NOT SAMPLED",NA,NA
"GR-033","oversample 2020","NOT SAMPLED",NA,NA
"GR-034","oversample 2020","NOT SAMPLED",NA,NA
"GR-035","oversample 2021","NOT SAMPLED",NA,NA
"GR-036","oversample 2021","NOT SAMPLED",NA,NA
"GR-037","oversample 2021","NOT SAMPLED",NA,NA
"GR-038","oversample 2022","NOT SAMPLED",NA,NA
"GR-039","oversample 2022","NOT SAMPLED",NA,NA
"GR-040","oversample 2022","NOT SAMPLED",NA,NA
"MMS-106","oversample 2021","NOT SAMPLED",NA,NA
"MMS-107","oversample 2021","NOT SAMPLED",NA,NA
"MMS-108","oversample 2022","NOT SAMPLED",NA,NA
"MMS-109","oversample 2022","NOT SAMPLED",NA,NA
"MMS-110","oversample 2022","NOT SAMPLED",NA,NA
"OT-127","oversample 2021","NOT SAMPLED",NA,NA
"OT-128","oversample 2022","NOT SAMPLED",NA,NA
"OT-129","oversample 2022","NOT SAMPLED",NA,NA
"OT-130","oversample 2022","NOT SAMPLED",NA,NA
"PP-181","oversample 2019","NOT SAMPLED",NA,NA
"PP-182","oversample 2020","NOT SAMPLED",NA,NA
"PP-183","oversample 2020","NOT SAMPLED",NA,NA
"PP-184","oversample 2020","NOT SAMPLED",NA,NA
"PP-185","oversample 2021","NOT SAMPLED",NA,NA
"PP-186","oversample 2021","NOT SAMPLED",NA,NA
"PP-187","oversample 2021","NOT SAMPLED",NA,NA
"PP-188","oversample 2022","NOT SAMPLED",NA,NA
"PP-189","oversample 2022","NOT SAMPLED",NA,NA
"PP-190","oversample 2022","NOT SAMPLED",NA,NA
"RI-215","oversample 2021","NOT SAMPLED",NA,NA
"RI-216","oversample 2021","NOT SAMPLED",NA,NA
"RI-217","oversample 2021","NOT SAMPLED",NA,NA
"RI-218","oversample 2022","NOT SAMPLED",NA,NA
"RI-219","oversample 2022","NOT SAMPLED",NA,NA
"RI-220","oversample 2022","NOT SAMPLED",NA,NA
"AS-001","2018","REJECTED",NA,NA
"AS-006","oversample 2018","REJECTED",NA,NA
"AS-007","oversample 2018","REJECTED",NA,NA
"AS-008","oversample 2018","SAMPLED","NEED MATCHED",FALSE
"GR-021","2018","SAMPLED","NEED MATCHED",FALSE
"MC-041","2018","REJECTED",NA,NA
"MC-042","2018","REJECTED",NA,NA
"MC-043","2018","REJECTED",NA,NA
"MC-056","oversample 2018","SAMPLED","NEED MATCHED",FALSE
"MC-057","oversample 2018","SAMPLED","NEED MATCHED",FALSE
"MC-058","oversample 2018","REJECTED",NA,NA
"MMS-071","2018","SAMPLED","NEED MATCHED",FALSE
"MMS-072","2018","SAMPLED","NEED MATCHED",FALSE
"MMS-073","2018","SAMPLED","NEED MATCHED",FALSE
"MMS-074","2018","SAMPLED","NEED MATCHED",FALSE
"MMS-075","2018","SAMPLED","NEED MATCHED",FALSE
"OT-111","2018","SAMPLED","NEED MATCHED",FALSE
"PJ-131","2018","SAMPLED","NEED MATCHED",FALSE
"PJ-132","2018","SAMPLED","NEED MATCHED",FALSE
"PJ-133","2018","SAMPLED","NEED MATCHED",FALSE
"PJ-134","2018","REJECTED","NEED MATCHED",FALSE
"PJ-135","2018","REJECTED","NEED MATCHED",FALSE
"PJ-156","oversample 2018","SAMPLED","NEED MATCHED",FALSE
"PJ-157","oversample 2018","SAMPLED","NEED MATCHED",FALSE
"PP-171","2018","SAMPLED","NEED MATCHED",FALSE
"RI-191","2018","REJECTED",NA,NA
"RI-192","2018","REJECTED",NA,NA
"RI-193","2018","REJECTED",NA,NA
"RI-206","oversample 2018","SAMPLED","NEED MATCHED",FALSE
"RI-207","oversample 2018","SAMPLED","NEED MATCHED",FALSE
"RI-208","oversample 2018","SAMPLED","NEED MATCHED",FALSE
"SS-221","2018","SAMPLED","NEED MATCHED",FALSE
"SS-222","2018","SAMPLED","NEED MATCHED",FALSE
"SS-223","2018","SAMPLED","NEED MATCHED",FALSE
"SS-224","2018","SAMPLED","NEED MATCHED",FALSE
"SS-225","2018","SAMPLED","NEED MATCHED",FALSE
"SS-226","2018","REJECTED",NA,NA
"SS-227","2018","SAMPLED","NEED MATCHED",FALSE
"SS-228","2018","SAMPLED","NEED MATCHED",FALSE
"SS-229","2018","SAMPLED","NEED MATCHED",FALSE
"SS-230","2018","SAMPLED","NEED MATCHED",FALSE
"SS-231","2018","SAMPLED","NEED MATCHED",FALSE
"SS-232","2018","SAMPLED","NEED MATCHED",FALSE
"SS-233","2018","SAMPLED","NEED MATCHED",FALSE
"SS-234","2018","SAMPLED","NEED MATCHED",FALSE
"SS-235","2018","REJECTED",NA,NA
"SS-236","2018","REJECTED",NA,NA
